id,created_time,creator_id,modified_time,modifier_id,is_deleted,path,component,is_frame,hidden,status,order_num,name,title,icon,no_cache,parent_id
1,2022-07-14 03:56:19,0,2022-07-19 15:40:51,0,0,role,/permission/role/index,0,0,0,3,PermissionRole,角色管理,peoples,1,7
2,2022-07-14 03:56:19,0,2022-07-20 10:25:17,0,0,/system,,0,0,0,2,,系统管理,system,0,0
3,2022-07-14 03:56:19,0,2022-07-19 16:03:40,0,0,menu,/permission/menu/index,0,0,0,2,PermissionMenu,菜单管理,tree-table,0,7
4,2022-07-14 03:56:19,0,2022-07-14 03:56:19,0,0,dict,/system/dict/index,0,0,0,4,SystemDictType,字典管理,dict,0,2
5,2022-07-14 03:56:19,0,2022-07-14 03:56:19,0,0,parameter,/system/parameter/index,0,0,0,3,SystemParameter,参数管理,tree,0,2
6,2022-07-14 03:56:19,0,2022-07-19 16:03:33,0,0,user,/permission/user/index,0,0,0,1,PermissionUser,用户管理,user,0,7
7,2022-07-14 03:56:19,0,2022-07-20 10:25:24,0,0,/permission,,0,0,0,1,,权限管理,monitor,0,0
8,2022-07-14 03:56:19,0,2022-07-14 03:56:19,0,0,dict/detail/:id(\d+),/system/dict/detail/index,0,1,0,1,SystemDictDetail,字典参数,dashboard,0,2
9,2022-10-29 23:57:16,0,2022-10-29 23:57:16,0,0,label,/permission/label/index,0,0,0,4,PermissionLabel,权限标签,icon,1,7
11,2023-12-02 18:06:51,0,2023-12-07 22:10:46,1,0,developer,/hiker/developer/index,0,0,0,1,HikerDeveloper,开发者,peoples,1,10
10,2023-12-02 18:05:43,0,2023-12-02 18:05:43,0,0,/hiker,,0,0,0,3,,海阔视界,international,1,0
12,2023-12-02 23:23:55,1,2023-12-07 22:10:55,1,0,rule_type,/hiker/rule_type/index,0,0,0,2,HikerRuleType,规则类型,component,1,10
13,2023-12-03 19:03:50,1,2023-12-07 22:11:07,1,0,rule,/hiker/rule/index,0,0,0,3,HikerRule,规则,list,1,10
14,2023-12-04 21:49:25,1,2023-12-04 21:49:25,0,0,control_panel,/control_panel/index,0,0,0,4,ControlPanel,控制面板,swagger,1,2
15,2023-12-05 08:49:37,1,2023-12-05 08:50:03,1,0,/tool,,0,0,0,4,,工具,bug,1,0
16,2023-12-05 08:51:06,1,2023-12-05 08:52:00,1,0,swagger,/tool/swagger/index,0,0,0,1,Swagger,swagger,swagger,1,15
17,2023-12-05 09:08:13,1,2023-12-06 22:50:59,1,0,/monitor,,0,0,0,4,,系统监控,monitor,1,0
18,2023-12-05 09:09:57,1,2023-12-07 00:03:28,1,0,job,/monitor/job/index,0,0,0,2,Job,定时任务,time-range,1,17
19,2023-12-05 09:11:12,1,2023-12-07 00:03:23,1,0,server,/monitor/server/index,0,0,0,1,Server,服务监控,server,1,17
20,2023-12-06 22:49:09,1,2023-12-06 22:49:09,0,0,blog,/tool/blog/index,0,0,0,2,Blog,博客,log,1,15
21,2023-12-06 22:53:25,1,2023-12-15 00:17:28,1,0,online,/monitor/online/index,0,1,0,6,Online,在线用户,online,1,17
22,2023-12-06 22:55:02,1,2023-12-15 00:17:17,1,0,cache, /monitor/cache/index,0,1,0,5,,缓存监控,redis,1,17
23,2023-12-06 22:56:00,1,2023-12-15 00:17:23,1,0,cacheList,/monitor/cache/list,0,0,0,5,cacheList,缓存列表,redis-list,1,17
24,2023-12-06 23:22:16,1,2023-12-06 23:22:16,0,0,icons,/components/icons/index,0,0,0,3,Icons,图标组件,icon,1,15
25,2023-12-06 23:33:18,1,2023-12-06 23:37:20,1,0,build,/tool/build/index,0,0,0,1,Build,表单构建,build,1,15
26,2023-12-07 22:06:50,1,2023-12-07 22:16:07,1,0,developer/:id(\d+),/hiker/developer/index,0,1,0,1,DeveloperDetail,开发者详情,peoples,1,10
27,2023-12-07 22:09:16,1,2023-12-07 22:16:02,1,0,rule_type/:id(\d+),/hiker/rule_type/index,0,1,0,2,RuleTypeDetail,规则类型详情,component,1,10
28,2023-12-07 22:56:42,1,2023-12-15 00:16:45,1,0,logininfor,/monitor/logininfor/index,0,0,0,3,LoginInfor,登录日志,people,1,17
29,2023-12-11 20:39:10,1,2023-12-11 20:42:25,1,1,control_panel1,/hello,0,0,0,1,,hello world,clipboard,1,7
30,2023-12-13 22:44:56,1,2023-12-15 00:16:50,1,0,pip,/monitor/pip/index,0,0,0,4,Pip,依赖管理,list,1,17
31,2023-12-15 00:11:11,1,2023-12-15 00:17:03,1,0,job-log/:id(\d+),/monitor/job/log,0,1,0,2,JobLog,定时任务执行日志,log,1,17
32,2023-12-15 00:36:18,1,2023-12-15 00:36:18,0,0,xfgpt,/tool/xfgpt/index,0,0,0,4,XfGpt,讯飞GPT,example,1,15
